
# Sample output running against the kubernetes project:

/home/user/kubernetes/cmd/kubelet/app/server_bootstrap_test.go:20:2: "crypto/ecdsa" uses quantum-vulnerable elliptic curve cryptography
/home/user/kubernetes/cmd/kubelet/app/server_bootstrap_test.go:21:2: "crypto/elliptic" uses quantum-vulnerable elliptic curve cryptography
/home/user/kubernetes/cmd/kubelet/app/server_bootstrap_test.go:365:17: function "x509.MarshalECPrivateKey" implements quantum-vulnerable cryptography
/home/user/kubernetes/cmd/kube-apiserver/app/testing/testserver.go:21:2: "crypto/ecdsa" uses quantum-vulnerable elliptic curve cryptography
/home/user/kubernetes/cmd/kube-apiserver/app/testing/testserver.go:22:2: "crypto/elliptic" uses quantum-vulnerable elliptic curve cryptography
/home/user/kubernetes/cmd/kube-apiserver/app/testing/testserver.go:24:2: "crypto/rsa" uses quantum-vulnerable integer factorization cryptography
/home/user/kubernetes/cmd/kubeadm/app/util/pkiutil/pki_helpers.go:22:2: "crypto/ecdsa" uses quantum-vulnerable elliptic curve cryptography
/home/user/kubernetes/cmd/kubeadm/app/util/pkiutil/pki_helpers.go:23:2: "crypto/elliptic" uses quantum-vulnerable elliptic curve cryptography
/home/user/kubernetes/cmd/kubeadm/app/util/pkiutil/pki_helpers.go:25:2: "crypto/rsa" uses quantum-vulnerable integer factorization cryptography
/home/user/kubernetes/cmd/kubeadm/app/util/pkiutil/pki_helpers_test.go:21:2: "crypto/ecdsa" uses quantum-vulnerable elliptic curve cryptography
/home/user/kubernetes/cmd/kubeadm/app/util/pkiutil/pki_helpers_test.go:22:2: "crypto/elliptic" uses quantum-vulnerable elliptic curve cryptography
/home/user/kubernetes/pkg/controller/certificates/signer/signer_test.go:21:2: "crypto/ecdsa" uses quantum-vulnerable elliptic curve cryptography
/home/user/kubernetes/pkg/controller/certificates/signer/signer_test.go:22:2: "crypto/elliptic" uses quantum-vulnerable elliptic curve cryptography
/home/user/kubernetes/pkg/registry/certificates/certificates/declarative_validation_test.go:21:2: "crypto/ed25519" uses quantum-vulnerable elliptic curve cryptography
/home/user/kubernetes/pkg/registry/certificates/podcertificaterequest/strategy_test.go:21:2: "crypto/ed25519" uses quantum-vulnerable elliptic curve cryptography
/home/user/kubernetes/pkg/kubelet/certificate/bootstrap/bootstrap.go:22:2: "crypto/rsa" uses quantum-vulnerable integer factorization cryptography
/home/user/kubernetes/pkg/serviceaccount/jwt.go:22:2: "crypto/ecdsa" uses quantum-vulnerable elliptic curve cryptography
/home/user/kubernetes/pkg/serviceaccount/jwt.go:23:2: "crypto/elliptic" uses quantum-vulnerable elliptic curve cryptography
